id,text
1,"Ayer comí una pizza hawaiana en Valencia."
2,"Pedro pidió una pizza margarita para cenar."
3,"Mañana iremos a una pizzería italiana."
4,"María prefiere la pizza pepperoni."
5,"La pizza hawaiana lleva jamón y piña."
6,"El próximo lunes comeremos pizza."
7,"Juan estuvo en Murcia ayer."
8,"Me gusta mucho el queso mozzarella."
9,"Quiero una pizza hawaiana grande con masa fina."
10,"Pedro pidió una pizza pepperoni familiar con extra de queso."
11,"María quiere una margarita pequeña y bien hecha."
12,"No quiero piña en la pizza, prefiero masa gruesa."
13,"Una pizza con borde relleno y mucho queso, por favor."
